id,batchId,fileName,fileKey,fileUrl,fileType,fileSize,rowCount,columnCount,status,errorMessage,createdAt
1,1,relatorio-de-performance.xlsx,uploads/1/1769559974918-vQTbKceB.xlsx,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/5n7arrGNHjNdoFCMzyGXcY/uploads/1/1769559974918-vQTbKceB.xlsx,performance,249596,1031,34,processed,,2026-01-28 00:26:15
2,2,relatorio-de-performance.xlsx,uploads/1/1769560010157-l0yEpASq.xlsx,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/5n7arrGNHjNdoFCMzyGXcY/uploads/1/1769560010157-l0yEpASq.xlsx,performance,249596,1031,34,processed,,2026-01-28 00:26:50
3,4,EMBRAPII-Eventos.xlsx,uploads/1/1769560875232-PiE1n-S2.xlsx,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/5n7arrGNHjNdoFCMzyGXcY/uploads/1/1769560875232-PiE1n-S2.xlsx,embrapii_eventos,58829,285,8,processed,,2026-01-28 00:41:15
4,5,relatorio-de-performance.xlsx,uploads/1/1769562693743-bZC0zk8v.xlsx,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/5n7arrGNHjNdoFCMzyGXcY/uploads/1/1769562693743-bZC0zk8v.xlsx,performance,277910,1037,34,processed,,2026-01-28 01:11:34
30001,30002,SEBRAEACRE-Eventos.xlsx,manual-import/SEBRAEACRE-Eventos.xlsx,manual-import/SEBRAEACRE-Eventos.xlsx,sebraeacre_eventos,,822,11,processed,,2026-02-13 14:44:53
30002,30002,BS2SEBRAETO-Eventos.xlsx,manual-import/BS2SEBRAETO-Eventos.xlsx,manual-import/BS2SEBRAETO-Eventos.xlsx,sebraeto_eventos,,909,11,processed,,2026-02-13 14:44:53
30003,30002,EMBRAPII-Eventos.xlsx,manual-import/EMBRAPII-Eventos.xlsx,manual-import/EMBRAPII-Eventos.xlsx,embrapii_eventos,,299,11,processed,,2026-02-13 14:44:53
30004,30003,SEBRAEACRE-Mentorias.xlsx,manual-import/SEBRAEACRE-Mentorias.xlsx,manual-import/SEBRAEACRE-Mentorias.xlsx,sebraeacre_mentorias,,524,15,processed,,2026-02-13 14:46:55
30005,30003,BS2SEBRAETO-Tutorias(respostas).xlsx,manual-import/BS2SEBRAETO-Tutorias(respostas).xlsx,manual-import/BS2SEBRAETO-Tutorias(respostas).xlsx,sebraeto_mentorias,,406,15,processed,,2026-02-13 14:46:55
30006,30003,EMBRAPII-Mentorias.xlsx,manual-import/EMBRAPII-Mentorias.xlsx,manual-import/EMBRAPII-Mentorias.xlsx,embrapii_mentorias,,152,15,processed,,2026-02-13 14:46:55
60001,60001,relatorio-de-performance.xlsx,uploads/1/1772496545537-vtS2IZB_.xlsx,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/5n7arrGNHjNdoFCMzyGXcY/uploads/1/1772496545537-vtS2IZB_.xlsx,performance,237368,1513,34,processed,,2026-03-03 00:09:06
90001,90001,relatorio-de-performance.xlsx,uploads/1/1772624903269-V5vWgkEA.xlsx,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/5n7arrGNHjNdoFCMzyGXcY/uploads/1/1772624903269-V5vWgkEA.xlsx,performance,237431,1513,34,processed,,2026-03-04 11:48:24
90002,90002,relatorio-de-performance.xlsx,uploads/1/1772625537353-9EDI4KXK.xlsx,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/5n7arrGNHjNdoFCMzyGXcY/uploads/1/1772625537353-9EDI4KXK.xlsx,performance,232705,1513,34,processed,,2026-03-04 11:58:58
120001,120001,relatorio-de-performance.xlsx,uploads/1/1772638744975-uywhDSsv.xlsx,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/5n7arrGNHjNdoFCMzyGXcY/uploads/1/1772638744975-uywhDSsv.xlsx,performance,232705,1513,34,processed,,2026-03-04 15:39:05
120002,120002,relatorio-de-performance.xlsx,uploads/1/1772638774629-eFD33F3K.xlsx,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/5n7arrGNHjNdoFCMzyGXcY/uploads/1/1772638774629-eFD33F3K.xlsx,performance,232705,1513,34,processed,,2026-03-04 15:39:35
150001,150001,relatorio-de-performance.xlsx,uploads/1/1772666953874-6s8dLX1L.xlsx,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/5n7arrGNHjNdoFCMzyGXcY/uploads/1/1772666953874-6s8dLX1L.xlsx,performance,233535,1522,34,processed,,2026-03-04 23:29:14
180001,180001,relatorio-de-performance.xlsx,uploads/1/1772836598868-hWIZSwl_.xlsx,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/5n7arrGNHjNdoFCMzyGXcY/uploads/1/1772836598868-hWIZSwl_.xlsx,performance,234220,1522,34,processed,,2026-03-06 22:36:39
210001,210001,relatorio-de-performance.xlsx,uploads/1/1773322378986-KB5q5sG4.xlsx,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/5n7arrGNHjNdoFCMzyGXcY/uploads/1/1773322378986-KB5q5sG4.xlsx,performance,195448,1249,34,processed,,2026-03-12 13:32:59
240001,240001,relatorio-de-performance.xlsx,uploads/1/1773670806162-ZLuEi3dS.xlsx,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/5n7arrGNHjNdoFCMzyGXcY/uploads/1/1773670806162-ZLuEi3dS.xlsx,performance,195792,1249,34,processed,,2026-03-16 14:20:06
270001,270001,relatorio-de-performance.xlsx,uploads/1/1773849193652-BMo0NJYC.xlsx,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/5n7arrGNHjNdoFCMzyGXcY/uploads/1/1773849193652-BMo0NJYC.xlsx,performance,195743,1249,34,processed,,2026-03-18 15:53:14
300001,300001,relatorio-de-performance.xlsx,uploads/1/1774021063763-EXL6zo5n.xlsx,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/5n7arrGNHjNdoFCMzyGXcY/uploads/1/1774021063763-EXL6zo5n.xlsx,performance,195446,1249,34,processed,,2026-03-20 15:37:44
330001,330001,relatorio-de-performance.xlsx,uploads/1/1774198860901-79degNtl.xlsx,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/5n7arrGNHjNdoFCMzyGXcY/uploads/1/1774198860901-79degNtl.xlsx,performance,195699,1249,34,processed,,2026-03-22 17:01:01
